website,task_group,task_id,n_trajectories,n_correct,n_incorrect,frac_correct,frac_incorrect,avg_total_reward,median_total_reward,avg_score,median_score,avg_reward,median_reward,avg_episode_reward,median_episode_reward,avg_return,median_return,avg_score_value_used,median_score_value_used,avg_steps_correct,median_steps_correct,avg_steps_incorrect,median_steps_incorrect
calendar,calendar_user_query,calendar_user_query_217,16,3,13,0.1875,0.8125,,,1.0881260591659299,0.8857142857142857,,,,,,,1.0881260591659299,0.8857142857142857,8.333333333333334,5.0,11.923076923076923,9.0
calendar,calendar_user_query,calendar_user_query_1685,16,4,12,0.25,0.75,,,1.1675927416881364,0.7884615384615384,,,,,,,1.1675927416881364,0.7884615384615384,11.75,12.0,13.5,13.0
calendar,calendar_user_query,calendar_user_query_1774,16,4,12,0.25,0.75,,,1.399455670426065,1.0771929824561401,,,,,,,1.399455670426065,1.0771929824561401,6.25,6.0,11.75,10.0
calendar,calendar_user_query,calendar_user_query_1243,16,7,9,0.4375,0.5625,,,1.4815495770676692,1.6666666666666667,,,,,,,1.4815495770676692,1.6666666666666667,9.571428571428571,9.0,15.444444444444445,15.0
calendar,calendar_user_query,calendar_user_query_1422,16,9,7,0.5625,0.4375,,,1.6225559366415179,2.1632411067193678,,,,,,,1.6225559366415179,2.1632411067193678,20.77777777777778,22.0,22.571428571428573,25.0
calendar,calendar_user_query,calendar_user_query_1442,16,11,5,0.6875,0.3125,,,2.3314980158730156,2.428571428571429,,,,,,,2.3314980158730156,2.428571428571429,5.454545454545454,4.0,7.6,6.0
calendar,calendar_user_query,calendar_user_query_587,16,14,2,0.875,0.125,,,2.525,2.291666666666667,,,,,,,2.525,2.291666666666667,2.4285714285714284,2.5,2.0,2.0
calendar,calendar_user_query,calendar_user_query_85,16,14,2,0.875,0.125,,,2.3697916666666665,2.125,,,,,,,2.3697916666666665,2.125,2.5,3.0,3.0,3.0
email,email_user_query,email_user_query_21,16,5,11,0.3125,0.6875,,,1.391693110810758,1.1363636363636362,,,,,,,1.391693110810758,1.1363636363636362,10.4,11.0,16.363636363636363,17.0
email,email_user_query,email_user_query_905,16,7,9,0.4375,0.5625,,,1.45625,0.9,,,,,,,1.45625,0.9,1.8571428571428572,1.0,1.3333333333333333,1.0
email,email_user_query,email_user_query_1281,16,8,8,0.5,0.5,,,1.7544890873015873,2.025,,,,,,,1.7544890873015873,2.025,5.75,4.0,7.625,6.0
email,email_user_query,email_user_query_1354,16,9,7,0.5625,0.4375,,,2.218973214285714,2.25,,,,,,,2.218973214285714,2.25,4.222222222222222,4.0,5.714285714285714,6.0
email,email_user_query,email_user_query_1103,16,10,6,0.625,0.375,,,2.5673859126984127,2.6666666666666665,,,,,,,2.5673859126984127,2.6666666666666665,6.1,6.0,6.666666666666667,6.0
email,email_user_query,email_user_query_1352,16,14,2,0.875,0.125,,,3.3854166666666665,4.0,,,,,,,3.3854166666666665,4.0,2.5,2.5,2.5,2.5
uber,uber_user_query,uber_user_query_807,16,1,15,0.0625,0.9375,,,0.7952697425123896,0.75,,,,,,,0.7952697425123896,0.75,15.0,15.0,20.533333333333335,24.0
uber,uber_user_query,uber_user_query_436,16,10,6,0.625,0.375,,,1.9317332300348604,2.3842592592592595,,,,,,,1.9317332300348604,2.3842592592592595,21.6,21.5,27.0,30.0
