website,task_group,task_id,correct,tool,count
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:left_click,42
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:scroll,15
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:terminate,7
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:pause_and_memorize_fact,2
calendar,calendar_user_query,calendar_user_query_1243,True,computer_use:type,1
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:left_click,104
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:scroll,12
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:terminate,8
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:visit_url,6
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:type,5
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:key,2
calendar,calendar_user_query,calendar_user_query_1243,False,computer_use:web_search,2
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:left_click,140
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:type,36
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:terminate,9
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:key,1
calendar,calendar_user_query,calendar_user_query_1422,True,computer_use:scroll,1
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:left_click,90
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:scroll,18
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:type,17
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:visit_url,15
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:mouse_move,5
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:terminate,5
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:history_back,3
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:web_search,3
calendar,calendar_user_query,calendar_user_query_1422,False,computer_use:key,2
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:left_click,27
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:scroll,13
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:terminate,11
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:pause_and_memorize_fact,7
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:mouse_move,1
calendar,calendar_user_query,calendar_user_query_1442,True,computer_use:type,1
calendar,calendar_user_query,calendar_user_query_1442,False,computer_use:left_click,20
